year,group,n_states,states
2011,Treated,27,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Michigan, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Washington, Wisconsin"
2012,Control,18,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Minnesota, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah, Vermont"
2012,Treated,27,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Michigan, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Washington, Wisconsin"
2013,Control,18,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Minnesota, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah, Vermont"
2013,Treated,28,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Michigan, Montana, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Washington, Wisconsin"
2014,Control,18,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Minnesota, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah, Vermont"
2014,Treated,29,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Michigan, Montana, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Washington, Wisconsin, Wyoming"
2015,Control,18,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Minnesota, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah, Vermont"
2015,Treated,29,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Michigan, Montana, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Washington, Wisconsin, Wyoming"
2016,Control,16,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Missouri, Nebraska, Nevada, Oklahoma, Texas, Utah, Vermont"
2016,Treated,29,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Kansas, Louisiana, Maryland, Massachusetts, Michigan, Montana, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Washington, Wisconsin, Wyoming"
2017,Control,11,"Alabama, California, District Of Columbia, Florida, Maine, Minnesota, Missouri, Oklahoma, Texas, Utah, Vermont"
2017,Treated,25,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Kansas, Louisiana, Maryland, Michigan, Mississippi, Montana, New Hampshire, New Jersey, New Mexico, North Carolina, Ohio, Oregon, Pennsylvania, Rhode Island, Tennessee, Washington, Wisconsin, Wyoming"
2018,Control,9,"California, District Of Columbia, Florida, Hawaii, Maine, Minnesota, Texas, Utah, Vermont"
2018,Treated,17,"Arkansas, Connecticut, Delaware, Indiana, Michigan, Mississippi, Montana, New Hampshire, New Jersey, New Mexico, North Carolina, Ohio, Oregon, Pennsylvania, Rhode Island, Tennessee, Washington"
2019,Control,5,"Florida, Idaho, Maine, Minnesota, Utah"
2019,Treated,8,"Arizona, Arkansas, New Hampshire, New York, North Carolina, South Dakota, Washington, West Virginia"
2020,Control,5,"Florida, Idaho, Maine, Minnesota, Utah"
2020,Treated,9,"Arizona, Arkansas, Maryland, New Hampshire, New York, North Carolina, South Dakota, Washington, West Virginia"
2021,Control,7,"Florida, Georgia, Idaho, Maine, Minnesota, Utah, Vermont"
2021,Treated,10,"Arizona, Arkansas, Colorado, Maryland, New Hampshire, New York, North Carolina, South Dakota, Washington, West Virginia"
2022,Control,7,"Florida, Georgia, Idaho, Maine, Minnesota, Utah, Vermont"
2022,Treated,11,"Arizona, Arkansas, Colorado, Illinois, Maryland, New Hampshire, New York, North Carolina, South Dakota, Washington, West Virginia"
2023,Control,5,"Georgia, Idaho, Maine, Minnesota, Texas"
2023,Treated,9,"Arkansas, Colorado, Maryland, New Hampshire, New York, North Carolina, South Dakota, Washington, West Virginia"
